,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AGK2,HL60,2.904736
7,AMG-319,HL60,3.808546
8,AT13148,HL60,3.379137
9,AZ6102,HL60,2.479558
10,AZ960,HL60,0.054884
11,AZD1208,HL60,4.885844
12,AZD1332,HL60,4.895281
13,AZD2014,HL60,3.617651
14,AZD4547,HL60,3.137978
15,AZD5153,HL60,-0.760805
16,AZD5363,HL60,1.933375
17,AZD5438,HL60,1.929562
18,AZD5582,HL60,1.523764
19,AZD5991,HL60,-2.292906
20,AZD6738,HL60,2.042793
21,AZD7762,HL60,0.296543
22,AZD8055,HL60,1.456973
23,AZD8186,HL60,1.816854
24,Acetalax,HL60,5.255601
25,Afuresertib,HL60,3.057738
26,Alisertib,HL60,-1.114913
27,Alpelisib,HL60,2.21634
28,Avagacestat,HL60,3.321006
29,Axitinib,HL60,1.346913
30,BI-2536,HL60,-3.860741
31,BIBR-1532,HL60,3.967546
32,BMS-536924,HL60,-0.15958
33,BMS-754807,HL60,-0.497059
34,Bleomycin,HL60,2.846334
35,Bleomycin (50 uM),HL60,3.346662
36,Bortezomib,HL60,-5.511162
37,Bosutinib,HL60,1.746057
38,Buparlisib,HL60,0.361896
39,CCT007093,HL60,4.802852
40,CPI-637,HL60,3.339946
41,CZC24832,HL60,4.656184
42,Camptothecin,HL60,-4.472606
43,Carmustine,HL60,5.767251
44,Cediranib,HL60,1.939612
45,Cisplatin,HL60,1.387772
46,Crizotinib,HL60,2.02268
47,Cyclophosphamide,HL60,2.452611
48,Cytarabine,HL60,0.250847
49,Dacarbazine,HL60,5.007591
50,Dactinomycin,HL60,-3.828022
51,Dactolisib,HL60,-1.099591
52,Dasatinib,HL60,2.184483
53,Dinaciclib,HL60,-3.863254
54,Docetaxel,HL60,-5.308438
55,Doramapimod,HL60,4.815009
56,EHT-1864,HL60,2.148829
57,EPZ004777,HL60,4.743614
58,EPZ5676,HL60,4.468414
59,Elephantin,HL60,2.441787
60,Entinostat,HL60,0.657198
61,Entospletinib,HL60,4.430713
62,Epirubicin,HL60,-2.725109
63,Fludarabine,HL60,1.615393
64,Foretinib,HL60,0.507843
65,Fulvestrant,HL60,3.329908
66,GDC0810,HL60,1.950125
67,GNE-317,HL60,-0.282199
68,GSK-LSD1,HL60,0.670554
69,GSK1904529A,HL60,4.988584
70,GSK2110183B,HL60,3.692014
71,GSK2578215A,HL60,2.065239
72,GSK2606414,HL60,2.656222
73,GSK2801,HL60,4.181437
74,GSK2830371,HL60,3.332171
75,GSK343,HL60,2.845398
76,GSK591,HL60,4.336599
77,GW441756,HL60,2.912734
78,Gallibiscoquinazole,HL60,1.713327
79,Gefitinib,HL60,3.269647
80,Gemcitabine,HL60,-3.005111
81,I-BET-762,HL60,0.75756
82,I-BRD9,HL60,2.824221
83,ICL-SIRT078,HL60,3.229446
84,IWP-2,HL60,1.86372
85,Ibrutinib,HL60,3.251737
86,Ipatasertib,HL60,2.421669
87,Irinotecan,HL60,0.505657
88,JQ1,HL60,-1.774252
89,KRAS (G12C) Inhibitor-12,HL60,5.559532
90,KU-55933,HL60,4.233836
91,LCL161,HL60,3.909526
92,LGK974,HL60,2.274807
93,LJI308,HL60,4.338849
94,LMP744,HL60,-1.699738
95,LY2109761,HL60,4.893069
96,Lapatinib,HL60,3.124205
97,Leflunomide,HL60,4.850157
98,Lenalidomide,HL60,3.177559
99,Lestaurtinib,HL60,-1.224208
100,Linsitinib,HL60,2.296419
101,Luminespib,HL60,-3.321522
102,MG-132,HL60,-1.14181
103,MIM1,HL60,4.384764
104,MIRA-1,HL60,4.251009
105,MK-1775,HL60,0.537033
106,MK-2206,HL60,3.567611
107,MK-8776,HL60,3.474365
108,ML323,HL60,3.795059
109,MN-64,HL60,2.037886
110,Methotrexate,HL60,-3.429267
111,Mirin,HL60,4.734348
112,Mitoxantrone,HL60,-1.648092
113,Motesanib,HL60,3.398147
114,Mycophenolic acid,HL60,0.872644
115,N-acetyl cysteine,HL60,9.943743
116,NVP-ADW742,HL60,0.25705
117,Navitoclax,HL60,-1.246696
118,Nelarabine,HL60,5.274322
119,Nilotinib,HL60,2.067855
