,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-6780,HL60,3.037778
5,AGK2,HL60,2.904736
6,AT13148,HL60,3.379137
7,AZ6102,HL60,2.479558
8,AZ960,HL60,0.054884
9,AZD1208,HL60,4.885844
10,AZD1332,HL60,4.895281
11,AZD2014,HL60,3.617651
12,AZD3759,HL60,2.156169
13,AZD4547,HL60,3.137978
14,AZD5153,HL60,-0.760805
15,AZD5363,HL60,1.933375
16,AZD5438,HL60,1.929562
17,AZD5582,HL60,1.523764
18,AZD5991,HL60,-2.292906
19,AZD6738,HL60,2.042793
20,AZD7762,HL60,0.296543
21,AZD8055,HL60,1.456973
22,AZD8186,HL60,1.816854
23,Acetalax,HL60,5.255601
24,Afatinib,HL60,1.518567
25,Afuresertib,HL60,3.057738
26,Alisertib,HL60,-1.114913
27,Alpelisib,HL60,2.21634
28,Avagacestat,HL60,3.321006
29,BI-2536,HL60,-3.860741
30,BIBR-1532,HL60,3.967546
31,BMS-345541,HL60,4.133874
32,BMS-536924,HL60,-0.15958
33,BMS-754807,HL60,-0.497059
34,Bleomycin,HL60,2.846334
35,Bleomycin (50 uM),HL60,3.346662
36,Bortezomib,HL60,-5.511162
37,Bosutinib,HL60,1.746057
38,Bromosporine,HL60,0.197511
39,CCT007093,HL60,4.802852
40,CZC24832,HL60,4.656184
41,Camptothecin,HL60,-4.472606
42,Carmustine,HL60,5.767251
43,Cediranib,HL60,1.939612
44,Cisplatin,HL60,1.387772
45,Cyclophosphamide,HL60,2.452611
46,Cytarabine,HL60,0.250847
47,Dabrafenib,HL60,4.896857
48,Dacarbazine,HL60,5.007591
49,Dactinomycin,HL60,-3.828022
50,Dactolisib,HL60,-1.099591
51,Dasatinib,HL60,2.184483
52,Dihydrorotenone,HL60,-3.980924
53,Dinaciclib,HL60,-3.863254
54,Docetaxel,HL60,-5.308438
55,Doramapimod,HL60,4.815009
56,EHT-1864,HL60,2.148829
57,EPZ004777,HL60,4.743614
58,EPZ5676,HL60,4.468414
59,Elephantin,HL60,2.441787
60,Entospletinib,HL60,4.430713
61,Epirubicin,HL60,-2.725109
62,Erlotinib,HL60,3.516011
63,Fludarabine,HL60,1.615393
64,Foretinib,HL60,0.507843
65,Fulvestrant,HL60,3.329908
66,GDC0810,HL60,1.950125
67,GSK-LSD1,HL60,0.670554
68,GSK1904529A,HL60,4.988584
69,GSK2110183B,HL60,3.692014
70,GSK2578215A,HL60,2.065239
71,GSK2801,HL60,4.181437
72,GSK2830371,HL60,3.332171
73,GSK343,HL60,2.845398
74,GSK591,HL60,4.336599
75,GW441756,HL60,2.912734
76,Gefitinib,HL60,3.269647
77,I-BRD9,HL60,2.824221
78,ICL-SIRT078,HL60,3.229446
79,IWP-2,HL60,1.86372
80,Ibrutinib,HL60,3.251737
81,Ipatasertib,HL60,2.421669
82,Irinotecan,HL60,0.505657
83,JNK Inhibitor VIII,HL60,4.787407
84,JQ1,HL60,-1.774252
85,KRAS (G12C) Inhibitor-12,HL60,5.559532
86,KU-55933,HL60,4.233836
87,L-Oxonoreleagnine,HL60,3.071544
88,LCL161,HL60,3.909526
89,LGK974,HL60,2.274807
90,LJI308,HL60,4.338849
91,LMP744,HL60,-1.699738
92,LY2109761,HL60,4.893069
93,Lapatinib,HL60,3.124205
94,Leflunomide,HL60,4.850157
95,Lenalidomide,HL60,3.177559
96,Lestaurtinib,HL60,-1.224208
97,Linsitinib,HL60,2.296419
98,Luminespib,HL60,-3.321522
99,MG-132,HL60,-1.14181
100,MIM1,HL60,4.384764
101,MIRA-1,HL60,4.251009
102,MK-1775,HL60,0.537033
103,MK-2206,HL60,3.567611
104,MK-8776,HL60,3.474365
105,ML323,HL60,3.795059
106,MN-64,HL60,2.037886
107,Methotrexate,HL60,-3.429267
108,Mirin,HL60,4.734348
109,Mitoxantrone,HL60,-1.648092
110,Motesanib,HL60,3.398147
111,Mycophenolic acid,HL60,0.872644
112,N-acetyl cysteine,HL60,9.943743
113,NU7441,HL60,0.40654
114,NVP-ADW742,HL60,0.25705
115,Navitoclax,HL60,-1.246696
116,Niraparib,HL60,4.647715
117,OF-1,HL60,0.928478
118,OTX015,HL60,-0.554517
119,Olaparib,HL60,3.475814
