,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AMG-319,HL60,3.808546
7,AT13148,HL60,3.379137
8,AZ6102,HL60,2.479558
9,AZ960,HL60,0.054884
10,AZD1208,HL60,4.885844
11,AZD2014,HL60,3.617651
12,AZD3759,HL60,2.156169
13,AZD4547,HL60,3.137978
14,AZD5153,HL60,-0.760805
15,AZD5363,HL60,1.933375
16,AZD5582,HL60,1.523764
17,AZD5991,HL60,-2.292906
18,AZD6738,HL60,2.042793
19,AZD7762,HL60,0.296543
20,AZD8055,HL60,1.456973
21,AZD8186,HL60,1.816854
22,Acetalax,HL60,5.255601
23,Afatinib,HL60,1.518567
24,Alisertib,HL60,-1.114913
25,Alpelisib,HL60,2.21634
26,Avagacestat,HL60,3.321006
27,Axitinib,HL60,1.346913
28,BI-2536,HL60,-3.860741
29,BIBR-1532,HL60,3.967546
30,BMS-345541,HL60,4.133874
31,BMS-536924,HL60,-0.15958
32,BMS-754807,HL60,-0.497059
33,Bleomycin,HL60,2.846334
34,Bleomycin (50 uM),HL60,3.346662
35,Bortezomib,HL60,-5.511162
36,Bosutinib,HL60,1.746057
37,Bromosporine,HL60,0.197511
38,Buparlisib,HL60,0.361896
39,CCT007093,HL60,4.802852
40,CPI-637,HL60,3.339946
41,CZC24832,HL60,4.656184
42,Carmustine,HL60,5.767251
43,Cediranib,HL60,1.939612
44,Cisplatin,HL60,1.387772
45,Crizotinib,HL60,2.02268
46,Cyclophosphamide,HL60,2.452611
47,Cytarabine,HL60,0.250847
48,Dabrafenib,HL60,4.896857
49,Dacarbazine,HL60,5.007591
50,Dactinomycin,HL60,-3.828022
51,Dactolisib,HL60,-1.099591
52,Dasatinib,HL60,2.184483
53,Dihydrorotenone,HL60,-3.980924
54,Dinaciclib,HL60,-3.863254
55,EHT-1864,HL60,2.148829
56,EPZ5676,HL60,4.468414
57,Elephantin,HL60,2.441787
58,Entinostat,HL60,0.657198
59,Entospletinib,HL60,4.430713
60,Erlotinib,HL60,3.516011
61,Fludarabine,HL60,1.615393
62,Foretinib,HL60,0.507843
63,Fulvestrant,HL60,3.329908
64,GDC0810,HL60,1.950125
65,GNE-317,HL60,-0.282199
66,GSK-LSD1,HL60,0.670554
67,GSK1904529A,HL60,4.988584
68,GSK2110183B,HL60,3.692014
69,GSK2578215A,HL60,2.065239
70,GSK2606414,HL60,2.656222
71,GSK2801,HL60,4.181437
72,GSK2830371,HL60,3.332171
73,GSK343,HL60,2.845398
74,GSK591,HL60,4.336599
75,GW441756,HL60,2.912734
76,Gallibiscoquinazole,HL60,1.713327
77,Gefitinib,HL60,3.269647
78,Gemcitabine,HL60,-3.005111
79,I-BET-762,HL60,0.75756
80,ICL-SIRT078,HL60,3.229446
81,IWP-2,HL60,1.86372
82,Ibrutinib,HL60,3.251737
83,Ipatasertib,HL60,2.421669
84,JNK Inhibitor VIII,HL60,4.787407
85,JQ1,HL60,-1.774252
86,KRAS (G12C) Inhibitor-12,HL60,5.559532
87,KU-55933,HL60,4.233836
88,L-Oxonoreleagnine,HL60,3.071544
89,LCL161,HL60,3.909526
90,LGK974,HL60,2.274807
91,LJI308,HL60,4.338849
92,LMP744,HL60,-1.699738
93,LY2109761,HL60,4.893069
94,Lapatinib,HL60,3.124205
95,Leflunomide,HL60,4.850157
96,Lenalidomide,HL60,3.177559
97,Lestaurtinib,HL60,-1.224208
98,Linsitinib,HL60,2.296419
99,Luminespib,HL60,-3.321522
100,MG-132,HL60,-1.14181
101,MIM1,HL60,4.384764
102,MK-1775,HL60,0.537033
103,MK-2206,HL60,3.567611
104,MK-8776,HL60,3.474365
105,ML323,HL60,3.795059
106,MN-64,HL60,2.037886
107,Methotrexate,HL60,-3.429267
108,Mirin,HL60,4.734348
109,Mitoxantrone,HL60,-1.648092
110,Motesanib,HL60,3.398147
111,Mycophenolic acid,HL60,0.872644
112,N-acetyl cysteine,HL60,9.943743
113,NU7441,HL60,0.40654
114,NVP-ADW742,HL60,0.25705
115,Navitoclax,HL60,-1.246696
116,Nelarabine,HL60,5.274322
117,Nilotinib,HL60,2.067855
118,Niraparib,HL60,4.647715
